"","Player","...1","Tm.x","season17_18","Rk","Player.x","Pos","Age","Tm.y","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT.x","FTA","FT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","GS.y","MP.y","FG.y","FGA.y","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT.y","FTA.y","FT%","ORB.y","DRB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS.y"
"49","C.J. Miles","144","TOR",7936509,302,"C.J. Miles\milescj01","SF",29,"IND",76,29,23.4,3.7,8.5,0.434,2.2,5.4,0.413,1.5,3.1,0.471,0.565,1.1,1.2,0.903,0.4,2.6,3,0.6,0.6,0.3,0.5,2,10.7,"SF",29,"IND",76,29,"44674","44745","44689",".434","44594","44656",".413","44682","44564",".471",".565","44562","44593",".903","0.4","44714","3.0","0.6","0.6","0.3","0.5","2.0","44752"
"50","C.J. Watson","494","ORL",333334,455,"C.J. Watson\watsocj01","PG",32,"ORL",62,9,16.3,1.5,4,0.387,0.5,1.7,0.305,1,2.3,0.448,0.452,0.9,1.1,0.864,0.3,1.2,1.4,1.8,0.7,0,0.8,1.4,4.5,"PG",32,"ORL",62,9,"44636","44682","4.0",".387","0.5","44743",".305","1.0","44622",".448",".452","0.9","44562",".864","0.3","44593","44652","44774","0.7","0.0","0.8","44652","44685"
"51","Cameron Payne","310","CHI",2203440,353,"Cameron Payne\payneca01","PG",22,"TOT",31,0,14.9,2.1,6.2,0.332,0.9,2.8,0.314,1.2,3.5,0.346,0.402,0.2,0.3,0.625,0.1,1.5,1.5,1.8,0.5,0.1,0.9,1.7,5.2,"PG",22,"TOT",31,0,"44818","44563","44598",".332","0.9","44775",".314","44593","44684",".346",".402","0.2","0.3",".625","0.1","44682","44682","44774","0.5","0.1","0.9","44743","44597"
"52","Caris LeVert","356","BRK",1632480,264,"Caris LeVert\leverca01","SF",22,"BRK",57,26,21.7,3,6.7,0.45,1,3.2,0.321,2,3.4,0.571,0.528,1.2,1.6,0.72,0.4,2.9,3.3,1.9,0.9,0.1,1,1.6,8.2,"SF",22,"BRK",57,26,"44763","3.0","44748",".450","1.0","44595",".321","2.0","44654",".571",".528","44593","44713",".720","0.4","44806","44623","44805","0.9","0.1","1.0","44713","44600"
"53","Carmelo Anthony","12","OKC",26243760,17,"Carmelo Anthony\anthoca01","SF",32,"NYK",74,74,34.3,8.1,18.8,0.433,2,5.7,0.359,6.1,13.1,0.466,0.488,4.1,4.9,0.833,0.8,5.1,5.9,2.9,0.8,0.5,2.1,2.7,22.4,"SF",32,"NYK",74,74,"34.3","44569","44791",".433","2.0","44747",".359","44567","44574",".466",".488","44565","44808",".833","0.8","44566","44809","44806","0.8","0.5","44563","44744","44673"
"54","Chandler Parsons","25","MEM",23112004,348,"Chandler Parsons\parsoch01","SF",28,"MEM",34,34,19.9,2.2,6.5,0.338,0.7,2.7,0.269,1.5,3.8,0.388,0.394,1,1.3,0.814,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,"SF",28,"MEM",34,34,"44823","44594","44687",".338","0.7","44744",".269","44682","44776",".388",".394","1.0","44621",".814","0.2","44622","44683","44713","0.6","0.1","0.7","44682","44598"
"55","Channing Frye","152","LAL",7420912,142,"Channing Frye\fryech01","C",33,"CLE",74,15,18.9,3.2,7,0.458,1.9,4.5,0.409,1.4,2.5,0.546,0.589,0.9,1,0.851,0.5,3.4,3.9,0.6,0.4,0.5,0.7,1.9,9.1,"C",33,"CLE",74,15,"44822","44595","7.0",".458","44805","44685",".409","44652","44683",".546",".589","0.9","1.0",".851","0.5","44654","44807","0.6","0.4","0.5","0.7","44805","44570"
"56","Chasson Randle","442","NYK",1312611,370,"Chasson Randle\randlch01","PG",23,"TOT",26,0,11.5,1.5,3.8,0.408,0.6,1.8,0.34,0.9,2,0.471,0.49,1.6,1.7,0.953,0.2,1,1.2,1.3,0.3,0.1,0.7,1.5,5.3,"PG",23,"TOT",26,0,"44692","44682","44776",".408","0.6","44774",".340","0.9","2.0",".471",".490","44713","44743",".953","0.2","1.0","44593","44621","0.3","0.1","0.7","44682","44625"
"57","Cheick Diallo","416","NOP",1312611,109,"Cheick Diallo\diallch01","PF",20,"NOP",17,0,11.7,2.1,4.5,0.474,0,0,NA,2.1,4.5,0.474,0.474,0.9,1.2,0.714,1.4,2.9,4.3,0.2,0.2,0.4,0.4,1,5.1,"PF",20,"NOP",17,0,"44753","44563","44685",".474","0.0","0.0",NA,"44563","44685",".474",".474","0.9","44593",".714","44652","44806","44624","0.2","0.2","0.4","0.4","1.0","44566"
"58","Chinanu Onuaku","413","HOU",1312611,342,"Chinanu Onuaku\onuakch01","C",20,"HOU",5,1,10.4,1,1.4,0.714,0,0,NA,1,1.4,0.714,0.714,0.8,0.8,1,0.4,1.6,2,0.6,0.6,0.2,0.8,1.2,2.8,"C",20,"HOU",5,1,"44661","1.0","44652",".714","0.0","0.0",NA,"1.0","44652",".714",".714","0.8","0.8","1000","0.4","44713","2.0","0.6","0.6","0.2","0.8","44593","44775"
"59","Chris McCullough","386","WAS",1471382,290,"Chris McCullough\mcculch01","PF",21,"TOT",16,0,5,1,2,0.5,0.1,0.4,0.143,0.9,1.6,0.6,0.516,0.2,0.3,0.6,0.6,0.6,1.2,0.1,0.1,0.1,0.2,0.4,2.3,"PF",21,"TOT",16,0,"5.0","1.0","2.0",".500","0.1","0.4",".143","0.9","44713",".600",".516","0.2","0.3",".600","0.6","0.6","44593","0.1","0.1","0.1","0.2","0.4","44622"
"60","Chris Paul","18","HOU",24599495,351,"Chris Paul\paulch01","PG",31,"LAC",61,61,31.5,6.1,12.9,0.476,2,5,0.411,4.1,7.9,0.518,0.555,3.8,4.3,0.892,0.7,4.3,5,9.2,2,0.1,2.4,2.4,18.1,"PG",31,"LAC",61,61,"44712","44567","44816",".476","2.0","5.0",".411","44565","44811",".518",".555","44776","44624",".892","0.7","44624","5.0","44601","2.0","0.1","44653","44653","44579"
"61","Clint Capela","290","HOU",2334520,71,"Clint Capela\capelca01","C",22,"HOU",65,59,23.9,5.6,8.7,0.643,0,0,NA,5.6,8.7,0.643,0.643,1.4,2.7,0.531,2.7,5.4,8.1,1,0.5,1.2,1.3,2.8,12.6,"C",22,"HOU",65,59,"44827","44717","44750",".643","0.0","0.0",NA,"44717","44750",".643",".643","44652","44744",".531","44744","44656","44569","1.0","0.5","44593","44621","44775","44724"
"62","Cody Zeller","95","CHO",12584270,482,"Cody Zeller\zelleco01","C",24,"CHO",62,58,27.8,4.1,7.1,0.571,0,0,0,4.1,7.1,0.572,0.571,2.1,3.2,0.679,2.2,4.4,6.5,1.6,1,0.9,1,3,10.3,"C",24,"CHO",62,58,"44800","44565","44568",".571","0.0","0.0",".000","44565","44568",".572",".571","44563","44595",".679","44594","44655","44687","44713","1.0","0.9","1.0","3.0","44630"
"63","Cole Aldrich","155","MIN",7300000,6,"Cole Aldrich\aldrico01","C",28,"MIN",62,0,8.6,0.7,1.4,0.523,0,0,NA,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,"C",28,"MIN",62,0,"44720","0.7","44652",".523","0.0","0.0",NA,"0.7","44652",".523",".523","0.2","0.4",".682","0.8","44743","44683","0.4","0.4","0.4","0.3","44652","44743"
"64","Corey Brewer","149","LAL",7579366,56,"Corey Brewer\breweco01","SF",30,"TOT",82,11,15.6,1.8,4.2,0.422,0.3,1.4,0.229,1.5,2.8,0.522,0.461,0.6,0.8,0.735,0.4,1.6,2,1.2,0.7,0.2,0.7,1.6,4.5,"SF",30,"TOT",82,11,"44727","44774","44596",".422","0.3","44652",".229","44682","44775",".522",".461","0.6","0.8",".735","0.4","44713","2.0","44593","0.7","0.2","0.7","44713","44685"
"65","Cory Joseph","147","IND",7630000,242,"Cory Joseph\josepco01","PG",25,"TOR",80,22,25,3.7,8.3,0.452,0.6,1.7,0.356,3.1,6.6,0.477,0.489,1.2,1.5,0.77,0.6,2.3,2.9,3.3,0.8,0.2,1.4,1.8,9.3,"PG",25,"TOR",80,22,"25.0","44745","44628",".452","0.6","44743",".356","44564","44718",".477",".489","44593","44682",".770","0.6","44622","44806","44623","0.8","0.2","44652","44774","44629"
"66","Courtney Lee","106","NYK",11747890,258,"Courtney Lee\leeco01","SG",31,"NYK",77,74,31.9,4.2,9.1,0.456,1.4,3.5,0.401,2.8,5.6,0.49,0.533,1.1,1.3,0.867,0.7,2.7,3.4,2.3,1.1,0.3,0.9,1.8,10.8,"SG",31,"NYK",77,74,"31.9","44596","44570",".456","44652","44684",".401","44775","44717",".490",".533","44562","44621",".867","0.7","44744","44654","44622","44562","0.3","0.9","44774","44783"
"67","D'Angelo Russell","187","BRK",5562360,390,"Dngelo Russell\russeda01","PG",20,"LAL",63,60,28.7,5.6,13.8,0.405,2.1,6.1,0.352,3.4,7.7,0.447,0.483,2.3,3,0.782,0.5,3,3.5,4.8,1.4,0.3,2.8,2.1,15.6,"PG",20,"LAL",63,60,"44770","44717","44786",".405","44563","44567",".352","44654","44749",".447",".483","44622","3.0",".782","0.5","3.0","44684","44777","44652","0.3","44775","44563","44727"
"68","D.J. Augustin","156","ORL",7250000,22,"D.J. Augustin\augusdj01","PG",29,"ORL",78,20,19.7,2.5,6.6,0.377,1.2,3.5,0.347,1.3,3.1,0.412,0.469,1.7,2.1,0.814,0.2,1.3,1.5,2.7,0.4,0,1.2,1.3,7.9,"PG",29,"ORL",78,20,"44761","44683","44718",".377","44593","44684",".347","44621","44564",".412",".469","44743","44563",".814","0.2","44621","44682","44744","0.4","0.0","44593","44621","44811"
"69","Damian Jones","414","GSW",1312611,236,"Damian Jones\jonesda03","C",21,"GSW",10,0,8.5,0.8,1.6,0.5,0,0,NA,0.8,1.6,0.5,0.5,0.3,1,0.3,0.9,1.4,2.3,0,0.1,0.4,0.6,1.5,1.9,"C",21,"GSW",10,0,"44689","0.8","44713",".500","0.0","0.0",NA,"0.8","44713",".500",".500","0.3","1.0",".300","0.9","44652","44622","0.0","0.1","0.4","0.6","44682","44805"
"70","Damian Lillard","13","POR",26153057,266,"Damian Lillard\lillada01","PG",26,"POR",75,75,35.9,8.8,19.8,0.444,2.9,7.7,0.37,6,12.1,0.492,0.516,6.5,7.3,0.895,0.6,4.3,4.9,5.9,0.9,0.3,2.6,2,27,"PG",26,"POR",75,75,"35.9","44781","44792",".444","44806","44749",".370","6.0","44573",".492",".516","44687","44627",".895","0.6","44624","44808","44809","0.9","0.3","44714","2.0","27.0"
"71","Daniel Ochefu","537","WAS",50000,337,"Daniel Ochefu\ochefda01","C",23,"WAS",19,0,3.9,0.6,1.4,0.444,0,0,NA,0.6,1.4,0.444,0.444,0,0.1,0,0.3,0.9,1.2,0.2,0.1,0,0.2,0.9,1.3,"C",23,"WAS",19,0,"44807","0.6","44652",".444","0.0","0.0",NA,"0.6","44652",".444",".444","0.0","0.1",".000","0.3","0.9","44593","0.2","0.1","0.0","0.2","0.9","44621"
"72","Danilo Gallinari","39","LAC",20559599,143,"Danilo Gallinari\gallida01","SF",28,"DEN",63,63,33.9,5.3,11.9,0.447,2,5.1,0.389,3.3,6.8,0.491,0.531,5.5,6.1,0.902,0.6,4.5,5.2,2.1,0.6,0.2,1.3,1.5,18.2,"SF",28,"DEN",63,63,"33.9","44625","44815",".447","2.0","44566",".389","44623","44779",".491",".531","44686","44567",".902","0.6","44685","44597","44563","0.6","0.2","44621","44682","44610"
"73","Danny Green","125","SAS",1e+07,164,"Danny Green\greenda02","SG",29,"SAS",68,68,26.6,2.6,6.6,0.392,1.7,4.6,0.379,0.9,2,0.42,0.523,0.4,0.5,0.844,0.5,2.8,3.3,1.8,1,0.8,1.1,1.8,7.3,"SG",29,"SAS",68,68,"44738","44714","44718",".392","44743","44716",".379","0.9","2.0",".420",".523","0.4","0.5",".844","0.5","44775","44623","44774","1.0","0.8","44562","44774","44627"
"74","Dante Cunningham","305","BRK",2300000,96,"Dante Cunningham\cunnida01","PF",29,"NOP",66,35,25,2.6,5.4,0.485,1.1,2.7,0.392,1.6,2.7,0.579,0.584,0.2,0.4,0.593,0.8,3.3,4.2,0.6,0.6,0.4,0.4,1.5,6.6,"PF",29,"NOP",66,35,"25.0","44714","44656",".485","44562","44744",".392","44713","44744",".579",".584","0.2","0.4",".593","0.8","44623","44596","0.6","0.6","0.4","0.4","44682","44718"
"75","Dante Exum","205","UTA",4992385,128,"Dante Exum\exumda01","PG",21,"UTA",66,26,18.6,2.3,5.5,0.427,0.7,2.3,0.295,1.7,3.2,0.519,0.488,0.9,1.1,0.795,0.5,1.5,2,1.7,0.3,0.2,1.2,2.2,6.2,"PG",21,"UTA",66,26,"44730","44622","44686",".427","0.7","44622",".295","44743","44595",".519",".488","0.9","44562",".795","0.5","44682","2.0","44743","0.3","0.2","44593","44594","44598"
"76","Darrell Arthur","151","DEN",7464912,20,"Darrell Arthur\arthuda01","PF",28,"DEN",41,7,15.6,2.3,5.2,0.442,1.3,2.9,0.453,1,2.4,0.429,0.565,0.5,0.5,0.864,0.6,2.1,2.7,1,0.5,0.5,0.9,1.9,6.4,"PF",28,"DEN",41,7,"44727","44622","44597",".442","44621","44806",".453","1.0","44653",".429",".565","0.5","0.5",".864","0.6","44563","44744","1.0","0.5","0.5","0.9","44805","44657"
"77","Darren Collison","124","IND",1e+07,85,"Darren Collison\collida01","PG",29,"SAC",68,64,30.3,5,10.5,0.476,1.1,2.6,0.417,3.9,7.9,0.495,0.527,2.2,2.5,0.86,0.3,1.9,2.2,4.6,1,0.1,1.7,1.8,13.2,"PG",29,"SAC",68,64,"44650","5.0","44691",".476","44562","44714",".417","44807","44811",".495",".527","44594","44683",".860","0.3","44805","44594","44716","1.0","0.1","44743","44774","44605"
"78","David Nwaba","431","CHI",1312611,334,"David Nwaba\nwabada01","SG",24,"LAL",20,2,19.9,2.4,4.1,0.58,0.1,0.3,0.2,2.3,3.8,0.605,0.586,1.3,2,0.641,0.9,2.3,3.2,0.7,0.7,0.4,0.6,1.8,6,"SG",24,"LAL",20,2,"44823","44653","44565",".580","0.1","0.3",".200","44622","44776",".605",".586","44621","2.0",".641","0.9","44622","44595","0.7","0.7","0.4","0.6","44774","6.0"
"79","David West","299","GSW",2328652,457,"David West\westda01","C",36,"GSW",68,0,12.6,2,3.7,0.536,0,0.1,0.375,1.9,3.6,0.541,0.542,0.6,0.8,0.768,0.7,2.3,3,2.2,0.6,0.7,1.1,1.5,4.6,"C",36,"GSW",68,0,"44724","2.0","44745",".536","0.0","0.1",".375","44805","44715",".541",".542","0.6","0.8",".768","0.7","44622","3.0","44594","0.6","0.7","44562","44682","44716"
"80","DeAndre' Bembry","364","ATL",1567200,40,"y\bembrde01","SF",22,"ATL",38,1,9.8,1.2,2.6,0.48,0,0.5,0.056,1.2,2.1,0.575,0.485,0.2,0.4,0.375,0.4,1.2,1.6,0.7,0.2,0.1,0.4,0.6,2.7,"SF",22,"ATL",38,1,"44782","44593","44714",".480","0.0","0.5",".056","44593","44563",".575",".485","0.2","0.4",".375","0.4","44593","44713","0.7","0.2","0.1","0.4","0.6","44744"
"81","DeAndre Jordan","31","LAC",22642350,241,"DeAndre Jordan\jordade01","C",28,"LAC",81,81,31.7,5.1,7.1,0.714,0,0,0,5.1,7.1,0.717,0.714,2.5,5.2,0.482,3.7,10.1,13.8,1.2,0.6,1.7,1.4,2.6,12.7,"C",28,"LAC",81,81,"44773","44566","44568",".714","0.0","0.0",".000","44566","44568",".717",".714","44683","44597",".482","44745","44571","44786","44593","0.6","44743","44652","44714","44754"
"82","DeAndre Liggins","567","ATL",26773,265,"DeAndre Liggins\liggide01","SG",28,"TOT",62,19,12.5,0.9,2.3,0.387,0.3,0.7,0.37,0.6,1.5,0.396,0.447,0.4,0.6,0.625,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.5,"SG",28,"TOT",62,19,"44693","0.9","44622",".387","0.3","0.7",".370","0.6","44682",".396",".447","0.4","0.6",".625","0.3","44652","44743","0.9","0.8","0.2","0.7","44621","44683"
"83","DeAndre Liggins","363","MIL",1577230,265,"DeAndre Liggins\liggide01","SG",28,"TOT",62,19,12.5,0.9,2.3,0.387,0.3,0.7,0.37,0.6,1.5,0.396,0.447,0.4,0.6,0.625,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.5,"SG",28,"TOT",62,19,"44693","0.9","44622",".387","0.3","0.7",".370","0.6","44682",".396",".447","0.4","0.6",".625","0.3","44652","44743","0.9","0.8","0.2","0.7","44621","44683"
"84","DeAndre Liggins","504","NOP",172238,265,"DeAndre Liggins\liggide01","SG",28,"TOT",62,19,12.5,0.9,2.3,0.387,0.3,0.7,0.37,0.6,1.5,0.396,0.447,0.4,0.6,0.625,0.3,1.4,1.7,0.9,0.8,0.2,0.7,1.3,2.5,"SG",28,"TOT",62,19,"44693","0.9","44622",".387","0.3","0.7",".370","0.6","44682",".396",".447","0.4","0.6",".625","0.3","44652","44743","0.9","0.8","0.2","0.7","44621","44683"
"85","Dejounte Murray","409","SAS",1312611,317,"Dejounte Murray\murrade01","PG",20,"SAS",38,8,8.5,1.3,3.1,0.431,0.2,0.6,0.391,1.1,2.4,0.441,0.47,0.6,0.8,0.7,0.2,0.9,1.1,1.3,0.2,0.2,1,0.8,3.4,"PG",20,"SAS",38,8,"44689","44621","44564",".431","0.2","0.6",".391","44562","44653",".441",".470","0.6","0.8",".700","0.2","0.9","44562","44621","0.2","0.2","1.0","0.8","44654"
"86","Delon Wright","353","TOR",1645200,477,"Delon Wright\wrighde01","PG",24,"TOR",27,0,16.5,1.8,4.3,0.422,0.4,1.1,0.333,1.4,3.2,0.453,0.466,1.6,2,0.764,0.6,1.2,1.8,2.1,1,0.4,0.9,1.1,5.6,"PG",24,"TOR",27,0,"44697","44774","44624",".422","0.4","44562",".333","44652","44595",".453",".466","44713","2.0",".764","0.6","44593","44774","44563","1.0","0.4","0.9","44562","44717"
"87","DeMar DeRozan","10","TOR",27739975,108,"DeMar DeRozan\derozde01","SG",27,"TOR",74,74,35.4,9.7,20.9,0.467,0.4,1.7,0.266,9.3,19.2,0.484,0.477,7.4,8.7,0.842,0.9,4.3,5.2,3.9,1.1,0.2,2.4,1.8,27.3,"SG",27,"TOR",74,74,"35.4","44751","44824",".467","0.4","44743",".266","44629","44611",".484",".477","44658","44750",".842","0.9","44624","44597","44807","44562","0.2","44653","44774","44647"
"88","DeMarcus Cousins","50","NOP",18063850,90,"DeMarcus Cousins\couside01","C",26,"TOT",72,72,34.2,9,19.9,0.452,1.8,5,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11,4.6,1.4,1.3,3.7,3.9,27,"C",26,"TOT",72,72,"34.2","9.0","44823",".452","44774","5.0",".361","44599","44787",".483",".498","44599","44629",".772","44563","44812","11.0","44716","44652","44621","44745","44807","27.0"
"89","DeMarre Carroll","76","BRK",14800000,72,"DeMarre Carroll\carrode01","SF",30,"TOR",72,72,26.1,3.1,7.6,0.4,1.5,4.4,0.341,1.5,3.2,0.483,0.499,1.2,1.6,0.761,0.9,2.9,3.8,1,1.1,0.4,0.8,2,8.9,"SF",30,"TOR",72,72,"44587","44564","44719",".400","44682","44655",".341","44682","44595",".483",".499","44593","44713",".761","0.9","44806","44776","1.0","44562","0.4","0.8","2.0","44812"
"90","Demetrius Jackson","536","HOU",50000,218,"Demetrius Jackson\jacksde01","PG",22,"BOS",5,0,3.4,0.6,0.8,0.75,0.2,0.2,1,0.4,0.6,0.667,0.875,0.6,1.2,0.5,0.4,0.4,0.8,0.6,0,0,0,0,2,"PG",22,"BOS",5,0,"44654","0.6","0.8",".750","0.2","0.2","1000","0.4","0.6",".667",".875","0.6","44593",".500","0.4","0.4","0.8","0.6","0.0","0.0","0.0","0.0","2.0"
"91","Demetrius Jackson","517","BOS",92858,218,"Demetrius Jackson\jacksde01","PG",22,"BOS",5,0,3.4,0.6,0.8,0.75,0.2,0.2,1,0.4,0.6,0.667,0.875,0.6,1.2,0.5,0.4,0.4,0.8,0.6,0,0,0,0,2,"PG",22,"BOS",5,0,"44654","0.6","0.8",".750","0.2","0.2","1000","0.4","0.6",".667",".875","0.6","44593",".500","0.4","0.4","0.8","0.6","0.0","0.0","0.0","0.0","2.0"
"92","Demetrius Jackson","529","HOU",74159,218,"Demetrius Jackson\jacksde01","PG",22,"BOS",5,0,3.4,0.6,0.8,0.75,0.2,0.2,1,0.4,0.6,0.667,0.875,0.6,1.2,0.5,0.4,0.4,0.8,0.6,0,0,0,0,2,"PG",22,"BOS",5,0,"44654","0.6","0.8",".750","0.2","0.2","1000","0.4","0.6",".667",".875","0.6","44593",".500","0.4","0.4","0.8","0.6","0.0","0.0","0.0","0.0","2.0"
"93","Denzel Valentine","311","CHI",2186400,442,"Denzel Valentine\valende01","SG",23,"CHI",57,0,17.1,1.8,5.1,0.354,1.3,3.6,0.351,0.5,1.4,0.363,0.481,0.2,0.3,0.778,0.2,2.5,2.6,1.1,0.5,0.1,0.9,1.5,5.1,"SG",23,"CHI",57,0,"44578","44774","44566",".354","44621","44715",".351","0.5","44652",".363",".481","0.2","0.3",".778","0.2","44683","44714","44562","0.5","0.1","0.9","44682","44566"
"94","Deron Williams","191","BRK",5500000,465,"Deron Williams\willide01","PG",32,"TOT",64,44,25.9,4.1,9.4,0.438,1.3,3.7,0.363,2.8,5.7,0.486,0.509,1.4,1.7,0.826,0.2,2.1,2.3,5.6,0.5,0.1,2.2,2.2,11,"PG",32,"TOT",64,44,"44829","44565","44660",".438","44621","44745",".363","44775","44747",".486",".509","44652","44743",".826","0.2","44563","44622","44717","0.5","0.1","44594","44594","11.0"
"95","Derrick Favors","104","UTA",1.2e+07,131,"Derrick Favors\favorde01","PF",25,"UTA",50,39,23.7,4.1,8.3,0.487,0.1,0.2,0.3,4,8.1,0.491,0.49,1.3,2.2,0.615,1.8,4.3,6.1,1.1,0.9,0.8,1.2,2.1,9.5,"PF",25,"UTA",50,39,"44765","44565","44628",".487","0.1","0.2",".300","4.0","44569",".491",".490","44621","44594",".615","44774","44624","44567","44562","0.9","0.8","44593","44563","44690"
"96","Derrick Rose","316","UTA",2116955,384,"Derrick Rose\rosede01","PG",28,"NYK",64,64,32.5,7.2,15.3,0.471,0.2,0.9,0.217,7,14.3,0.487,0.477,3.5,4,0.874,1,2.8,3.8,4.4,0.7,0.3,2.3,1.3,18,"PG",28,"NYK",64,64,"32.5","44599","44635",".471","0.2","0.9",".217","7.0","44634",".487",".477","44684","4.0",".874","1.0","44775","44776","44655","0.7","0.3","44622","44621","18.0"
"97","Derrick Williams","512","LAL",104059,466,"Derrick Williams\willide02","PF",25,"TOT",50,11,16.1,2.2,4.9,0.443,0.6,1.9,0.309,1.6,2.9,0.531,0.504,1.2,1.8,0.652,0.4,2.2,2.6,0.6,0.3,0.1,0.6,1.2,6.1,"PF",25,"TOT",50,11,"44577","44594","44808",".443","0.6","44805",".309","44713","44806",".531",".504","44593","44774",".652","0.4","44594","44714","0.6","0.3","0.1","0.6","44593","44567"
"98","Devin Booker","303","PHO",2319360,53,"Devin Booker\bookede01","SG",20,"PHO",78,78,35,7.8,18.3,0.423,1.9,5.2,0.363,5.9,13.2,0.447,0.475,4.7,5.7,0.832,0.6,2.6,3.2,3.4,0.9,0.3,3.1,3.1,22.1,"SG",20,"PHO",78,78,"35.0","44780","44638",".423","44805","44597",".363","44809","44605",".447",".475","44746","44747",".832","0.6","44714","44595","44654","0.9","0.3","44564","44564","44583"
"99","Devin Harris","215","DEN",4402546,177,"Devin Harris\harride01","PG",33,"DAL",65,0,16.7,2.1,5.2,0.399,0.9,2.7,0.328,1.2,2.5,0.476,0.484,1.6,2,0.829,0.2,1.8,2,2.1,0.7,0.1,0.9,1.6,6.7,"PG",33,"DAL",65,0,"44758","44563","44597",".399","0.9","44744",".328","44593","44683",".476",".484","44713","2.0",".829","0.2","44774","2.0","44563","0.7","0.1","0.9","44713","44748"
"100","Dewayne Dedmon","182","ATL",6e+06,103,"Dewayne Dedmon\dedmode01","C",27,"SAS",76,37,17.5,2.1,3.4,0.622,0,0,NA,2.1,3.4,0.622,0.622,0.9,1.2,0.699,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,"C",27,"SAS",76,37,"44698","44563","44654",".622","0.0","0.0",NA,"44563","44654",".622",".622","0.9","44593",".699","44743","44777","44687","0.6","0.5","0.8","0.8","44653","44566"
"101","Deyonta Davis","412","MEM",1312611,101,"Deyonta Davis\davisde01","C",20,"MEM",36,0,6.6,0.7,1.3,0.511,0,0,NA,0.7,1.3,0.511,0.511,0.3,0.5,0.556,0.6,1.1,1.7,0.1,0.1,0.5,0.2,1.1,1.6,"C",20,"MEM",36,0,"44718","0.7","44621",".511","0.0","0.0",NA,"0.7","44621",".511",".511","0.3","0.5",".556","0.6","44562","44743","0.1","0.1","0.5","0.2","44562","44713"
"102","Diamond Stone","437","ATL",1312611,416,"Diamond Stone\stonedi01","C",19,"LAC",7,0,3.4,0.4,1.9,0.231,0,0,NA,0.4,1.9,0.231,0.231,0.6,0.6,1,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4,"C",19,"LAC",7,0,"44654","0.4","44805",".231","0.0","0.0",NA,"0.4","44805",".231",".231","0.6","0.6","1000","0.1","0.7","0.9","0.0","0.0","0.1","0.3","0.7","44652"
"103","Diamond Stone","557","CHI",50000,416,"Diamond Stone\stonedi01","C",19,"LAC",7,0,3.4,0.4,1.9,0.231,0,0,NA,0.4,1.9,0.231,0.231,0.6,0.6,1,0.1,0.7,0.9,0,0,0.1,0.3,0.7,1.4,"C",19,"LAC",7,0,"44654","0.4","44805",".231","0.0","0.0",NA,"0.4","44805",".231",".231","0.6","0.6","1000","0.1","0.7","0.9","0.0","0.0","0.1","0.3","0.7","44652"
"104","Dion Waiters","110","MIA",1.1e+07,451,"Dion Waiters\waitedi01","SG",25,"MIA",46,43,30.1,6.1,14.4,0.424,1.8,4.7,0.395,4.3,9.7,0.438,0.488,1.8,2.8,0.646,0.4,2.9,3.3,4.3,0.9,0.4,2.2,2.1,15.8,"SG",25,"MIA",46,43,"44591","44567","44665",".424","44774","44746",".395","44624","44751",".438",".488","44774","44775",".646","0.4","44806","44623","44624","0.9","0.4","44594","44563","44788"
"105","Dirk Nowitzki","201","DAL",5e+06,332,"Dirk Nowitzki\nowitdi01","PF",38,"DAL",54,54,26.4,5.5,12.6,0.437,1.5,3.9,0.378,4,8.7,0.463,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,"PF",38,"DAL",54,54,"44677","44686","44724",".437","44682","44807",".378","4.0","44750",".463",".495","44774","44563",".875","0.4","44567","44687","44682","0.6","0.7","0.9","44563","44606"
"106","Domantas Sabonis","276","IND",2550000,391,"Domantas Sabonis\sabondo01","PF",20,"OKC",81,66,20.1,2.4,5.9,0.399,0.6,2,0.321,1.7,4,0.438,0.452,0.5,0.8,0.657,0.6,3,3.6,1,0.5,0.4,1,2.5,5.9,"PF",20,"OKC",81,66,"44581","44653","44809",".399","0.6","2.0",".321","44743","4.0",".438",".452","0.5","0.8",".657","0.6","3.0","44715","1.0","0.5","0.4","1.0","44683","44809"
