"","Player","...1","Tm.x","season17_18","Rk","Player.x","Pos","Age","Tm.y","G","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT.x","FTA","FT","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Pos.y","Age.y","Tm.y","G.y","GS.y","MP.y","FG.y","FGA.y","FG%","3P","3PA","3P%","2P","2PA","2P%","eFG%","FT.y","FTA.y","FT%","ORB.y","DRB.y","TRB.y","AST.y","STL.y","BLK.y","TOV.y","PF.y","PTS.y"
"13","Andre Drummond","22","DET",23775506,115,"Andre Drummond\drumman01","C",23,"DET",81,81,29.7,6,11.2,0.53,0,0.1,0.286,5.9,11.2,0.532,0.531,1.7,4.4,0.386,4.3,9.5,13.8,1.1,1.5,1.1,1.9,2.9,13.6,"C",23,"DET",81,81,"44771","6.0","44603",".530","0.0","0.1",".286","44809","44603",".532",".531","44743","44655",".386","44624","44690","44786","44562","44682","44562","44805","44806","44725"
"14","Andre Iguodala","75","GSW",14814815,212,"Andre Iguodala\iguodan01","SF",33,"GSW",76,0,26.3,2.9,5.5,0.528,0.8,2.3,0.362,2,3.1,0.651,0.605,0.9,1.3,0.706,0.7,3.3,4,3.4,1,0.5,0.8,1.3,7.6,"SF",33,"GSW",76,0,"44646","44806","44686",".528","0.8","44622",".362","2.0","44564",".651",".605","0.9","44621",".706","0.7","44623","4.0","44654","1.0","0.5","0.8","44621","44719"
"15","Andre Roberson","132","OKC",9259259,378,"Andre Roberson\roberan03","SF",25,"OKC",79,79,30.1,2.7,5.9,0.464,0.6,2.3,0.245,2.2,3.5,0.609,0.513,0.6,1.4,0.423,1.2,3.9,5.1,1,1.2,1,0.6,2.6,6.6,"SF",25,"OKC",79,79,"44591","44744","44809",".464","0.6","44622",".245","44594","44684",".609",".513","0.6","44652",".423","44593","44807","44566","1.0","44593","1.0","0.6","44714","44718"
"16","Andrew Bogut","302","LAL",2328652,51,"Andrew Bogut\bogutan01","C",32,"TOT",27,21,21.6,1.4,3,0.469,0,0,0,1.4,3,0.475,0.469,0.1,0.4,0.273,2.1,6,8.1,1.8,0.5,0.9,1.6,3.2,2.9,"C",32,"TOT",27,21,"44733","44652","3.0",".469","0.0","0.0",".000","44652","3.0",".475",".469","0.1","0.4",".273","44563","6.0","44569","44774","0.5","0.9","44713","44595","44806"
"17","Andrew Harrison","425","MEM",1312611,183,"Andrew Harrison\harrian01","PG",22,"MEM",72,18,20.5,1.6,5,0.325,0.6,2.2,0.276,1,2.8,0.363,0.385,2.1,2.7,0.763,0.3,1.6,1.9,2.8,0.7,0.3,1.2,2.7,5.9,"PG",22,"MEM",72,18,"44701","44713","5.0",".325","0.6","44594",".276","1.0","44775",".363",".385","44563","44744",".763","0.3","44713","44805","44775","0.7","0.3","44593","44744","44809"
"18","Andrew Nicholson","266","POR",2844429,327,"Andrew Nicholson\nichoan01","PF",27,"TOT",38,0,9,1.1,2.9,0.387,0.1,0.7,0.185,1,2.2,0.452,0.41,0.2,0.4,0.643,0.4,1.2,1.6,0.3,0.4,0.2,0.4,1.4,2.6,"PF",27,"TOT",38,0,"9.0","44562","44806",".387","0.1","0.7",".185","1.0","44594",".452",".410","0.2","0.4",".643","0.4","44593","44713","0.3","0.4","0.2","0.4","44652","44714"
"19","Andrew Wiggins","150","MIN",7574322,462,"Andrew Wiggins\wiggian01","SF",21,"MIN",82,82,37.2,8.6,19.1,0.452,1.3,3.5,0.356,7.4,15.6,0.473,0.484,5,6.6,0.76,1.2,2.8,4,2.3,1,0.4,2.3,2.2,23.6,"SF",21,"MIN",82,82,"37.2","44720","44580",".452","44621","44684",".356","44658","44727",".473",".484","5.0","44718",".760","44593","44775","4.0","44622","1.0","0.4","44622","44594","44735"
"20","Anthony Davis","21","NOP",23775506,100,"Anthony Davis\davisan02","C",23,"NOP",75,75,36.1,10.3,20.3,0.505,0.5,1.8,0.299,9.7,18.6,0.524,0.518,6.9,8.6,0.802,2.3,9.5,11.8,2.1,1.3,2.2,2.4,2.2,28,"C",23,"NOP",75,75,"36.1","44630","44640",".505","0.5","44774",".299","44751","44730",".524",".518","44810","44720",".802","44622","44690","44784","44563","44621","44594","44653","44594","28.0"
"21","Anthony Tolliver","249","DET",3290000,432,"Anthony Tolliver\tollian01","PF",31,"SAC",65,9,22.7,2.4,5.4,0.442,1.4,3.5,0.391,1,1.9,0.537,0.57,0.9,1.3,0.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,"PF",31,"SAC",65,9,"44764","44653","44656",".442","44652","44684",".391","1.0","44805",".537",".570","0.9","44621",".744","0.8","44806","44715","44593","0.5","0.3","0.9","44743","44568"
"22","Anthony Tolliver","332","SAC",2e+06,432,"Anthony Tolliver\tollian01","PF",31,"SAC",65,9,22.7,2.4,5.4,0.442,1.4,3.5,0.391,1,1.9,0.537,0.57,0.9,1.3,0.744,0.8,2.9,3.6,1.2,0.5,0.3,0.9,1.7,7.1,"PF",31,"SAC",65,9,"44764","44653","44656",".442","44652","44684",".391","1.0","44805",".537",".570","0.9","44621",".744","0.8","44806","44715","44593","0.5","0.3","0.9","44743","44568"
"23","Aron Baynes","218","BOS",4328000,34,"Aron Baynes\baynear01","C",30,"DET",75,2,15.5,1.9,3.7,0.513,0,0,NA,1.9,3.7,0.513,0.513,1.1,1.3,0.84,1.5,3,4.4,0.4,0.2,0.5,0.7,2.2,4.9,"C",30,"DET",75,2,"44696","44805","44745",".513","0.0","0.0",NA,"44805","44745",".513",".513","44562","44621",".840","44682","3.0","44655","0.4","0.2","0.5","0.7","44594","44808"
"24","Arron Afflalo","291","ORL",2328652,4,"Arron Afflalo\afflaar01","SG",31,"SAC",61,45,25.9,3,6.9,0.44,1,2.5,0.411,2,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,"SG",31,"SAC",61,45,"44829","3.0","44810",".440","1.0","44683",".411","2.0","44655",".457",".514","44652","44682",".892","0.1","44805","2.0","44621","0.3","0.1","0.7","44743","44659"
"25","Arron Afflalo","378","SAC",1500000,4,"Arron Afflalo\afflaar01","SG",31,"SAC",61,45,25.9,3,6.9,0.44,1,2.5,0.411,2,4.4,0.457,0.514,1.4,1.5,0.892,0.1,1.9,2,1.3,0.3,0.1,0.7,1.7,8.4,"SG",31,"SAC",61,45,"44829","3.0","44810",".440","1.0","44683",".411","2.0","44655",".457",".514","44652","44682",".892","0.1","44805","2.0","44621","0.3","0.1","0.7","44743","44659"
"26","Austin Rivers","105","LAC",11825000,377,"Austin Rivers\riverau01","SG",24,"LAC",74,29,27.8,4.4,9.9,0.442,1.5,4,0.371,2.9,5.8,0.491,0.518,1.8,2.6,0.691,0.3,1.9,2.2,2.8,0.6,0.1,1.6,2.5,12,"SG",24,"LAC",74,29,"44800","44655","44813",".442","44682","4.0",".371","44806","44778",".491",".518","44774","44714",".691","0.3","44805","44594","44775","0.6","0.1","44713","44683","12.0"
"27","Avery Bradley","136","LAC",8808989,55,"Avery Bradley\bradlav01","SG",26,"BOS",55,55,33.4,6.5,14.1,0.463,2,5,0.39,4.6,9.1,0.504,0.533,1.2,1.7,0.731,1.2,4.9,6.1,2.2,1.2,0.2,1.6,2.6,16.3,"SG",26,"BOS",55,55,"33.4","44687","44575",".463","2.0","5.0",".390","44716","44570",".504",".533","44593","44743",".731","44593","44808","44567","44594","44593","0.2","44713","44714","44636"
"28","Axel Toupane","568","NOP",25000,433,"Axel Toupane\toupaax01","SF",24,"TOT",4,0,11.8,1.3,2.3,0.556,0.3,1,0.25,1,1.3,0.8,0.611,0,0,NA,0,0.3,0.3,0,0.3,0.3,0,1.5,2.8,"SF",24,"TOT",4,0,"44784","44621","44622",".556","0.3","1.0",".250","1.0","44621",".800",".611","0.0","0.0",NA,"0.0","0.3","0.3","0.0","0.3","0.3","0.0","44682","44775"
"29","Ben McLemore","195","MEM",5200000,295,"Ben McLemore\mclembe01","SG",23,"SAC",61,26,19.3,3,6.9,0.43,1.1,2.8,0.382,1.9,4.1,0.462,0.507,1.1,1.5,0.753,0.3,1.8,2.1,0.8,0.5,0.1,1,1.8,8.1,"SG",23,"SAC",61,26,"44639","3.0","44810",".430","44562","44775",".382","44805","44565",".462",".507","44562","44682",".753","0.3","44774","44563","0.8","0.5","0.1","1.0","44774","44569"
